"  ตารางราคา powerbank
อัพเดท17/7/66
10,E-36,,"ข้อมูลเชิงเทคนิค:
- ความจุแบตเตอรี: 12000 mAh Li-Polymer battery
- Input (Micro) current: DC 5V - 2A & DC 9V - 2A
- Input (Type - C) current: DC 5V - 2.5A & DC 9V - 2A
- Output (Type - C) current: DC 5V - 6V / 3A & DC 6V - 9V / 2A & DC 9V - 12V / 1.5A (18W MAX)  
- Output 1 (USB) current:DC 5V - 6V / 3A & DC 6V - 9V / 2A & DC 9V - 12V / 1.5A (18W MAX) 
- Output 2 (USB) current:DC 5V - 6V / 3A & DC 6V - 9V / 2A & DC 9V - 12V / 1.5A (18W MAX)  
- Recycle time: >500 ครั้ง
- ระยะเวลาในการชาร์จ: 8 ชั่วโมง (ขึ้นอยู่กับกำลังไฟของ Adapter ที่ใช้)
- น้ำหนัก 220 กรัม
- ขนาด: 96 (ยาว) x 63 (กว้าง) x 24 (หนา) mm
- สี เทา ดำ 

คุณลักษณะพิเศษ:
- ระบบการชาร์จได้มีการปรับปรุงให้มีประสิทธฺ์ภาพมากขึ้น รองรับ QuickCharge2.0 / 3.0 Fast Charge และ PD (Power Delivery) ของอุปกรณ์ Apple 
- วิธีการตรวจสอบปริมาณคงเหลือของแบตเตอรี กดปุ่มด้านข้างเพื่อตรวจสอบปริมาณไฟคงเหลือ ไฟ LED จะมี 4 ดวง: 
  1) ดวงที่ 1 แสดงสถานะตอนชาร์จไฟ ไฟจะมี 2 สี สีฟ้าแสดงถึงกำลังไฟ input / output แบบปกติ และสีเขียว Quick charging (สาเหตุที่กำลังไฟไม่อยู่ในเกณฑ์ quick charge เนื่องจาก มือถือ / สายชาร์จ / Adapter ไม่รองรับหรือชำรุด และไม่ควรชาร์จอุปกรณ์พร้อมกัน 2 เครื่อง ในกรณีที่ต้องการให้เป็นแบบ Quick charge)   
  2) ในกรณีที่ไฟไม่ติด (0-15%) ดวงที่ 1-4 แสดงสถานะคงเหลือของปริมาณแบตเตอรี่ ดวงที่  1 (15-25%) ดวงที่ 2 (25-50%) ดวงที่ 3 (50-75%) ดวงที่ 4 (75-100%)
- ดีไซด์สวยด้วยวัตถุที่แข็งแรงคงทน

ในกล่องประกอบไปด้วย :
- แบตสำรอง Eloop E36 12000 mAh
- สายชาร์จ Micro USB
- คู่มือการใช้งาน",590,,,ฟรี ,บวกเพิ่ม 10 ,can,no,can,
11,E-37,,"ข้อมูลเชิงเทคนิค:
- ความจุแบตเตอรี: 3.7V  22000 mAh  (74Wh) Li-Polymer battery
- Input (Micro) current: DC 5V - 2A & DC 9V - 2A
- Input (Type - C) current: DC 5V - 2.5A & DC 9V - 2A (PD + QC 3.0)
- Output (Type - C) current: DC 5 - 3A & DC 9V / 2A & DC 12V / 1.5A (PD + QC 3.0)
- Output 1& 2 (USB) current: DC 5 - 3A & DC 9V / 2A & DC 12V / 1.5A (QC 3.0)
- Standby time: >5,000 ชั่วโมง
- ระยะเวลาในการชาร์จ: 6 ชั่วโมง (ขึ้นอยู่กับกำลังไฟของ Adapter & สายชาร์จที่ใช้)
- น้ำหนัก 370 กรัม
- ขนาด: 134 (ยาว) x 65 (กว้าง) x 24 (หนา) mm

คุณลักษณะพิเศษ:
- ระบบการชาร์จได้มีการปรับปรุงให้มีประสิทธฺ์ภาพมากขึ้น รองรับ QuickCharge2.0 / 3.0 Fast Charge และ PD (Power Delivery) ของอุปกรณ์ Apple 
- วิธีการตรวจสอบปริมาณคงเหลือของแบตเตอรี กดปุ่มด้านข้างเพื่อตรวจสอบปริมาณไฟคงเหลือ ไฟ LED จะมี 4 ดวง: 
  1) ดวงที่ 4 แสดงสถานะตอนชาร์จไฟ ไฟจะมี 2 สี สีฟ้าแสดงถึงกำลังไฟ input / output จ่ายไฟแบบปกติ และสีเขียวเป็นแบบ Fast Charge และในกรณีที่ไฟสีเขียวไม่แสดงไม่ได้หมายความว่ากำลังไฟไม่อยู่ในเกณฑ์ Fast Charge เนื่องจาก มือถือ / สายชาร์จ / Adapter ไม่รองรับหรือชำรุด และไม่ควรชาร์จอุปกรณ์พร้อมกัน 2 เครื่อง ในกรณีที่ต้องการให้เป็นแบบ Fast Charge   
  2) ดวงที่ 1-4 แสดงสถานะคงเหลือของปริมาณแบตเตอรี่ ดวงที่  1 (0-25%) ดวงที่ 2 (25-50%) ดวงที่ 3 (50-75%) ดวงที่ 4 (75-100%)
- ดีไซด์สวยด้วยวัตถุที่แข็งแรงคงทน
- รองรับกับอุปกรณ์เครื่องใช้ไฟฟ้าที่ชาร์จไฟผ่าน USB Port
- จอ LED แสดงสถานะของพลังงานที่เหลืออยู่ และสามารถดูได้ในที่มืด
- ผ่านการผลิตที่เป็นมาตรฐานสากล CE / FCC / RoHS

ในกล่องประกอบไปด้วย:
- Power bank 22000 mAh
- สายชาร์จ  
- ซองใส่ Power bank & สายชาร์จ แถมเพิ่มเติมอีก 1 เส้น
- คู่มือการใช้งาน",830,,,ฟรี ,บวกเพิ่ม 10 ,can,can,can,
12,E-39,,"ข้อมูลทางเทคนิค:
- Input : DC 5V - 2A (Micro USB/Type C)
- Output 1 : DC 5V - สูงสุด 2.1A
- Output 2 : DC 5V - สูงสุด 2.1A
- ความจุแบตเตอรี่ : 20000 mAh
- ชนิดแบตเตอรี่ : Li-Polymer
- เวลาที่ใช้ชาร์จแบตสำรอง (Charging Time) : 20 ชั่วโมง (โดย Adapter 5V 1A) / 10 ชั่วโมง (โดย Adapter 5V 2A)
- หนัก 420 กรัม 
- ขนาด: 141 (ยาว) x 71 (กว้าง) x 27 (หนา) mm
- สี ขาว 

คุณสมบัติ 
- แบตเตอรี่สำรองความจุ 20000 mAh ขนาดพอดีมือ กระทัดรัด พกพาสะดวก
- รองรับการรีชาร์จให้สมาร์ทโฟนและแท็บเล็ตผ่านพอร์ต USB กระแสไฟสูงสุด 2.1A
- ช่องพอร์ต USB 2 ช่อง สามารถรีชาร์จอุปกรณ์ได้พร้อมกัน 2 เครื่องในเวลาเดียวกัน
- ช่องชาร์จเข้าแบบพอร์ต Micro USB และ Type C ชาร์จเร็วสูงสุด 2A
- มีไฟ LED แสดงสถานะการทำงานและปริมาณความจุของแบตเตอรี่สำรอง
- วัสดุทำจากพลาสติก ลายเคฟล่า ยอดนิยม สีในเนื้อพลาสติก ทนทาน ไม่ลอก ทำความสะอาดง่าย
- ตรวจสอบปริมาณไฟคงเหลือโดยการกดปุ่มด้านบน
- ได้รับมาตรฐานสากล CE, FCC, RoHS

ในกล่องประกอบไปด้วย:
-แบตเตอรี่สำรอง Eloop (20000 mAh) รุ่น E39
-สายชาร์จ Micro USB
-ซองผ้า
-คู่มือการใช้งาน
",540,,,ฟรี ,NO,can,can,can,
13,EW-40,,"ข้อมูลเชิงเทคนิค:
- ความจุแบตเตอรี: 20000 mAh Li-Polymer battery
- Total Output: 18W
- Wireless Charging: 5W / 7.5W / 10W (Max)
- Input (Micro) current: DC 5V / 2A & DC 9V / 2A
- Input (Type - C) current: DC 5V / 2.5A & DC 9V / 2A
- Output (USB - A) current: DC 5V / 3A & DC 9V / 2A & DC 12V / 1.5A
- Output (Type - C) current: DC 5V / 3A & DC 9V / 2A & DC 12V / 1.5A
- Input Interface: Micro-USB
- Power indicator: LED
- Operating environment: -10 ํc - 50 ํc
- ระยะเวลาในการชาร์จ: 7-8 ชั่วโมง (ขึ้นอยู่กับกำลังไฟของ Adapter ที่ใช้)
- น้ำหนัก 340 กรัม
- ขนาด: 141 (ยาว) x 70 (กว้าง) x 24 (หนา) mm
- สีดำ สีน้ำเงิน

คุณลักษณะพิเศษ:
- ระบบการชาร์จได้มีการปรับปรุงให้มีประสิทธฺ์ภาพมากขึ้น รองรับ QuickCharge2.0 / 3.0 Fast Charge และ PD (Power Delivery) ของอุปกรณ์ Apple 
- วิธีการตรวจสอบปริมาณคงเหลือของแบตเตอรี กดปุ่มด้านข้างเพื่อตรวจสอบปริมาณไฟคงเหลือ ไฟ LED จะมี 4 ดวง: 
  1) ดวงที่ 1 แสดงสถานะตอนชาร์จไฟ ไฟจะมี 2 สี สีขาวแสดงถึงกำลังไฟ input / output จ่ายไฟแบบปกติ และสีเขียวเป็นแบบ Fast Charge และในกรณีที่ไฟสีเขียวไม่แสดงไม่ได้หมายความว่ากำลังไฟไม่อยู่ในเกณฑ์ Fast Charge เนื่องจาก มือถือ / สายชาร์จ / Adapter ไม่รองรับ (เนื่องจากไม่ต้องการกำลังไฟที่มากจนเกินไป) หรือชำรุด และไม่ควรชาร์จอุปกรณ์พร้อมกัน 2 เครื่อง ในกรณีที่ต้องการให้เป็นแบบ Fast Charge   
  2) ดวงที่ 1-4 แสดงสถานะคงเหลือของปริมาณแบตเตอรี่ ดวงที่  1 (0-25%) ดวงที่ 2 (25-50%) ดวงที่ 3 (50-75%) ดวงที่ 4 (75-100%)
- ในกรณีที่กดปุ่ม Power 2 ครั้งติดกัน จะเป็นการปิดการใช้งาน หากไม่กด และไม่ได้ชาร์จ Powerbank เข้ากับอุปกรณ์อื่นๆ Powerbank จะปิดเองภายใน 30-40 วินาที
- Wireless Charge หรือการชาร์จแบบไร้สาย สามารถใช้ได้กับทุกมือถือที่รองรับการชาร์จแบบไร้สายเท่านั้น วิธีชาร์จโดยการกดปุ่ม Power และรอประมาณ 3 วินาที จะมีไฟสีเขียวขึ้นตรงหน้าจอ LED จากนั้นให้วางโทรศัพท์มือถือให้อยู่ตรงจุดศูนย์กลางของ Powerbank ที่เป็นรูปบวก ( + ) ความเสถียรของการชาร์จจะขึ้นอยู่กับตำแหน่งที่วาง 
- ดีไซด์สวยด้วยวัตถุที่แข็งแรงคงทน หุ้มด้วยผ้า Fabric กันรอย (Anti-Scratch) และกันมือถือลื่น (Anti-Skid) ในเวลาที่ใช้งานแบบ wireless charging  
- รองรับกับอุปกรณ์เครื่องใช้ไฟฟ้าที่ชาร์จไฟผ่าน USB Port 
- ผ่านการผลิตที่เป็นมาตรฐานสากล CE / FCC / RoHS

ในกล่องประกอบไปด้วย:
- Power bank 20000 mAh
- สายชาร์จ  
- ซองใส่ Power bank & สายชาร์จสำรอง (ของแถมเพิ่มเติม)
- คู่มือการใช้งาน",840,,,ฟรี ,NO,no,can,no,
14,E-41,,"ข้อมูลเชิงเทคนิค:
- ความจุแบตเตอรี: 3.7V  10000 mAh  (37Wh) Li-Polymer battery
- Input (Micro) current: DC 5V / 2A 
- Input (Type - C) current: DC 5V / 2A 
- Output 1& 2 (USB) current: DC 5 / 2.1A
- Input Interface: Micro-USB
- ระยะเวลาในการชาร์จ: 5-6 ชั่วโมง (ขึ้นอยู่กับกำลังไฟของ Adapter & สายชาร์จที่ใช้)
- น้ำหนัก 242 กรัม
- ขนาด: 142 (ยาว) x 71 (กว้าง) x 16 (หนา) mm
- สีขาว ดำ ม่วง ส้ม 

คุณลักษณะพิเศษ:
- วิธีการตรวจสอบปริมาณคงเหลือของแบตเตอรี กดปุ่มด้านข้างเพื่อตรวจสอบปริมาณไฟคงเหลือ ไฟ LED จะมี 4 ดวง แสดงสถานะคงเหลือของปริมาณแบตเตอรี่ ดวงที่  1 (0-25%) ดวงที่ 2 (25-50%) ดวงที่ 3 (50-75%) ดวงที่ 4 (75-100%)
- ดีไซด์สวยด้วยวัตถุที่แข็งแรงคงทน ทำมาจากพลาสติก PC+ABS
- รองรับกับอุปกรณ์เครื่องใช้ไฟฟ้าที่ชาร์จไฟผ่าน USB Port
- จอ LED แสดงสถานะของพลังงานที่เหลืออยู่ และสามารถดูได้ในที่มืด
- ผ่านการผลิตที่เป็นมาตรฐานสากล CE / FCC / RoHS

ในกล่องประกอบไปด้วย:
- Power bank 10000 mAh
- สายชาร์จ Micro USB cable & สายชาร์จสำรอง (ของแถมเพิ่มเติม)
- ซองใส่ Power bank 
- คู่มือการใช้งาน",330,,,ฟรี ,บวกเพิ่ม 10 ,can,can,no,
15,E-43,," ข้อมูลทางเทคนิค : 
ข้อมูลเชิงเทคนิค:
- ความจุแบตเตอรี: 25000 mAh Li-Polymer battery
- Total Output: 30W
- Input (Type - C) current: DC 5V/3A; 9V/3A; 12V/2.5A; 15V/2A; 20V/1.5A
- Output (Type - C) current: DC 5V/3A; 9V/3A; 12V/2.5A; 15V/2A; 20V/1.5A
- Ouput (USB A 1/2) current: DC 5V/3A; 9V/2.67A; 12V/2A
- ระยะเวลาในการชาร์จ: 5-6 ชั่วโมง (ขึ้นอยู่กับกำลังไฟของ Adapter & สายชาร์จที่ใช้)
- น้ำหนัก 485 กรัม
- ขนาด: 170.5 (ยาว) x 88 (กว้าง) x 20 (หนา) mm
 
คุณสมบัติสินค้า 
-  แบตเตอรี่สำรองความจุ 25000 mAh หุ้มอลูมิเนียม
- Output 4 Port ชาร์จอุปกรณ์ได้ถึง 4 เครื่องพร้อมกัน
- Input Type-C 18W ชาร์จตัวแบตสำรองได้รวดเร็วยิ่งขึ้น
- รองรับเทคโนโลยีการชาร์จ PD / QC 3.0 สูงสุด 30W
- มีไฟ LED แสดงสถานะการทำงานและปริมาณความจุของแบตเตอรี่สำรอง มีไฟสีเขียว แสดงสถานะ Quick Charge/Fast Charge
- ได้รับมาตรฐานสากล CE, FCC, RoHS

อุปกรณ์ในกล่อง :
- Eloop E43 25000 mAh
-  สายชาร์จ Type-C to Type-C
-  ซองผ้า
- คู่มือการใช้งาน",1120,,,ฟรี ,บวกเพิ่ม 10,no,can,no,
16,E-48,,"ข้อมูลทางเทคนิค :
- Brand & Model: Eloop E48
- ความจุแบตเตอรี: 10000 mAh Li-Polymer battery
- Total Output: 20W (Max)
- Input (Type - C) current: DC 5V/3A 9V/2.22A 12V/1.67A
- Output (Type - C) current: DC 5V/2.4A 9V/2.22A 12V/1.67A
- Output (USB-A) : DC 5V/3A 9V/2A 12V/1.5A
- ระยะเวลาในการชาร์จ: 3-4 ชั่วโมง (ขึ้นอยู่กับกำลังไฟของ Adapter & สายชาร์จที่ใช้)
- น้ำหนักผลิตภัณฑ์ 172 กรัม
- น้ำหนักผลิตภัณฑ์ & แพ็คเกจ 203 กรัม
- ขนาดผลิตภัณฑ์: 102 (ยาว) x 70 (กว้าง) x 15 (หนา) mm
- ขนาดผลิตภัณฑ์ & แพ็คเกจ: 130 (ยาว) x 90 (กว้าง) x 20 (หนา) mm

คุณสมบัติสินค้า :
-  แบตเตอรี่สำรองความจุ 10000mAh
-  มี 3 สีให้เลือก Summer Beach | Shell White | Rock Black
-  บางเพียง 1.5 เซ็นติเมตร น้ำหนัก 172 กรัม พกพาสะดวกทุกที่
-  Output 2 Port ชาร์จอุปกรณ์ได้ถึง 2 เครื่องพร้อมกัน
-  รองรับเทคโนโลยีการชาร์จ PD | QC 3.0 สูงสุด 20W 
-  Input Type-C 20W ชาร์จไฟให้แบตสำรองได้รวดเร็วยิ่งขึ้น
-  จอ Digital LED แสดงสถานะแบตเตอรี่คงเหลือในรูปแบบเปอร์เซ็นต์ (%)
-  รองรับชาร์จเร็วสำหรับ Phone และ Android เกือบทุกรุ่น
- ได้รับมาตรฐานสากล CE, FCC, RoHS, มอก.

 อุปกรณ์ในกล่อง :
- Eloop E48 10000 mAh
-  สายชาร์จ USB Type-C
-  คู่มือการใช้งาน","ดำ ขาว 
546
ฟ้า
570",,,ฟรี ,บวกเพิ่ม 10,can,can,can,
17,E49,,"ข้อมูลทางเทคนิค :
- ความจุแบตเตอรี: 3.7V 10000 mAh (37Wh) Li-Polymer battery
- Total Output: 20W (Max)
- Input (Type - C) current: DC 5V / 3A; 9V / 2A; 12V / 1.5A 
- Output (Type - C) current: DC 5V / 2.4A & DC 9V / 2.22A & DC 12V / 1.67A
- Output (USB - A) current: DC 5V / 3A & DC 9V / 2A & DC 12V / 1.5A
- PPS: 3.3V - 11V/2A
- Power indicator: LED
- Operating environment: -10 ํc - 50 ํc
- ระยะเวลาในการชาร์จ: 3-4 ชั่วโมง (ขึ้นอยู่กับกำลังไฟของ Adapter ที่ใช้)
- น้ำหนัก 172 กรัม
- ขนาด: 106 (ยาว) x 70 (กว้าง) x 15.5 (หนา) mm
- สี ดำ ฟ้า 

คุณสมบัติสินค้า 
- แบตเตอรี่สำรองความจุ 10000 mAh หุ้มผ้ายีนส์ ขอบพลาสติก ABS
-  บางเพียง 1.5 เซ็นติเมตร น้ำหนัก 172 กรัม พกพาสะดวกทุกที่
-  Output 2 Port ชาร์จอุปกรณ์ได้ถึง 2 เครื่องพร้อมกัน
-  รองรับเทคโนโลยีการชาร์จ PD | QC 3.0 สูงสุด 20W 
-  Input Type C 18W ชาร์จตัวแบตสำรองได้รวดเร็วยิ่งขึ้น
-  มีไฟ LED แสดงสถานะการทำงานและปริมาณความจุของแบตเตอรี่สำรอง
-  มีไฟสีเขียว แสดงสถานะ Quick Charge/Fast Charge
-  รองรับชาร์จเร็วสำหรับ Phone 8 ขึ้นไป และ Phone 12
-  ได้รับมาตรฐานสากล CE, FCC, RoHS, มอก.

 อุปกรณ์ในกล่อง :
- Eloop E49 10000 mAh
-  ซองผ้า
-  คู่มือภาษาอังกฤษ",570,,,ฟรี ,บวกเพิ่ม 10,no,can,no,
18,EW50,,"ข้อมูลเชิงเทคนิค :
- ความจุแบตเตอรี:4200 mAh Li-Polymer battery
- Total Output: 15W (Max)
- Input (Type - C) current: DC 5V / 2.4A; 9V / 1.5A
- Output (Type - C) current: DC 5V / 2.4A; DC 9V / 1.3A; DC 12V / 1A
- Wireless Charging: 5W / 7.5W / 10W / 15W
- Power indicator: LED
- Operating environment: -10 ํc - 50 ํc
- ระยะเวลาในการชาร์จ: 2-3 ชั่วโมง (ขึ้นอยู่กับกำลังไฟของ Adapter ที่ใช้)
- น้ำหนัก : 86 กรัม
- ขนาด: 82.5 (ยาว) x 60 (กว้าง) x 10.5 (หนา) mm
- สี น้ำเงิน / ขาว / แดง 

คุณลักษณะพิเศษ
- รองรับการใช้งานชาร์จไร้สายระบบแม่เหล็ก MagSafe สำหรับ iPhone 12 / 13 ทุก series และยังใช้งานชาร์จไร้สายกับสมาร์ทโฟน Android รุ่นที่รองรับ ขนาดเล็กกว่าที่ชาร์จ MagSafe ทั่วไปถึง 20% รองรับการชาร์จแบบไร้สายสูงสุด 15W
- ดีไซน์ขนาดเล็ก บางเพียง 1 ซม. เล็กกว่าที่ชาร์จ MagSafe ทั่วไป 20%
- รองรับชาร์จไร้สาย QI Wireless Charge สูงสุด 15W
จ่ายไฟ 7.5W Max สำหรับ iPhone / 15W Max สำหรับ Android (รุ่นที่รองรับ)
ช่องจ่ายไฟ Output Type-C สำรับการชาร์จแบบใช้สาย กำลังไฟสูงสุด 12W
ช่องชาร์จไฟจากไฟบ้านเข้า powerbank เป็น Input Type-C ที่ 12W ชาร์จได้เร็วขึ้น
ระบบการชาร์จได้มีการปรับปรุงให้มีประสิทธฺ์ภาพมากขึ้น รองรับ QuickCharge2.0 / 3.0 Fast Charge และ PD (Power Delivery) ของอุปกรณ์ Apple
วิธีการตรวจสอบปริมาณคงเหลือของแบตเตอรี กดปุ่มด้านข้างเพื่อตรวจสอบปริมาณไฟคงเหลือ ไฟ LED จะแสดงเป็น % ซึ่งบอกถึงปริมาณแบตเตอรี่ที่มี และสามารถดูได้ในที่มืด
ไฟ LED ติด 4 ดวง - แบตเตอรี่อยู่ในระดับ 75% - 100%, ไฟ LED ติด 3 ดวง - แบตเตอรี่อยู่ในระดับ 50% - 75%, ไฟ LED ติด 2 ดวง - แบตเตอรี่อยู่ในระดับ 25% - 50%, ไฟ LED ติด 1 ดวง - แบตเตอรี่อยู่ในระดับ 0% - 25%
ไฟสีเขียวจะปรากฏหน้าจอ LED ว่ากำลังชาร์จแบบ Quick charging หากไม่แสดงอาจจะเป็นเพราะว่าอุปกรณ์ที่ชาร์จไม่อยู่ในเกณฑ์ quick charge เนื่องจาก มือถือ / สายชาร์จ / Adapter ไม่รองรับ (เนื่องจากไม่ต้องการกำลังไฟที่มากจนเกินไป) หรือชำรุด
ดีไซด์สวยด้วยวัตถุที่แข็งแรงคงทน กันมือถือลื่น (Anti-Skid) ในเวลาที่ใช้งานแบบ wireless charging
รองรับกับอุปกรณ์เครื่องใช้ไฟฟ้าที่ชาร์จไฟผ่าน USB Port
ผ่านการผลิตที่เป็นมาตรฐานสากล CE / FCC / RoHS

ในกล่องประกอบไปด้วย:
- Power bank 4200 mAh
- สายชาร์จ Type C to Lightning
- สายชาร์จ USB-A to Type C
- ซองใส่ Power bank 
- คู่มือการใช้งาน",645,,,ฟรี ,บวกเพิ่ม 10,can,can,can,
19,EW52,,"ข้อมูลทางเทคนิค :
- ความจุแบตเตอรี: 10000 mAh Li-Polymer battery
- Total Output: 20W (Max)
- Input (Type - C) current: DC 5V / 2.4A; 9V / 2.22A 
- Output (Type - C) current: DC 5V / 3A; DC 9V / 2.22A; DC 12V / 1.67A
- Wireless Charging: 5W / 7.5W / 10W / 15W
- Power indicator: LED
- Operating environment: -10 ํc - 50 ํc
- ระยะเวลาในการชาร์จ: 3-4 ชั่วโมง (ขึ้นอยู่กับกำลังไฟของ Adapter ที่ใช้)
- น้ำหนัก 189 กรัม
- ขนาด: 100.5 (ยาว) x 69 (กว้าง) x 16 (หนา) mm
- สี ดำ / ขาว

คุณสมบัติสินค้า 
- แบตเตอรี่สำรอง MagCharge Magnetic ความจุ 10000 mAh
- ความจุมากกว่า MagCharge Magnetic Battery Pack ทั่วไป ในขนาดที่ใกล้เคียงกัน
-  ใช้สำหรับ Phone 12 / 13 / 14 สามารถใช้ MagCharge Magnetic โดยไม่ต้องใส่เคส
- ระบบแม่เหล็กยึดแน่น ไม่หลุด พกพาได้สะดวกยิ่งขึ้น
-  รองรับชาร์จไร้สาย QI Wireless Charge สูงสุด 15W
-  จ่ายไฟ 7.5W Max ใช้สำหรับ Phone / 15W Max สำหรับ Android (รุ่นที่รองรับ)
-  สามารถจ่ายไฟให้แบตสำรอง และชาร์จมือถือในขณะเดียวกันได้
-  Output Type C 20W (Max) เพิ่มความรวดเร็วในการชาร์จมากขึ้น
-  รองรับชาร์จเร็ว PD 20W สำหรับ 12 / 13 ขึ้นไป
-  Input Type C 20W ชาร์จตัวแบตสำรองได้รวดเร็วขึ้น 2 เท่า
-  มีไฟ LED แสดงสถานะการทำงานและปริมาณความจุของแบตเตอรี่สำรอง
- ใช้กับสายชาร์จแบบสั้น S10C / S10L ได้อย่างลงตัว
- ออกแบบฐานตั้งสำหรับวางมือถือในตัว เพิ่มความสะดวกสบาย
-  ได้รับมาตรฐานสากล CE, FCC, RoHS, มอก.

อุปกรณ์ในกล่อง :
- Eloop EW52 10000 mAh
- คู่มือการใช้งาน",750,,,ฟรี ,บวกเพิ่ม 10,no,can,no,
20,E53,,"ข้อมูลเชิงเทคนิค:
- ความจุแบตเตอรี: 10000 mAh Li-Polymer battery
- Total Output: 20W
- Input (Type - C) current: DC 5V/3A; 9V/2.22A; 12V/1.67A  
- Output (Type - C) current: DC 5V/2.4A; 9V/2.22A; 12V/1.67A  
- Onput (USB A 1/2) current: DC 5V/3A; 9V/2A; 12V/1.5A  
- ระยะเวลาในการชาร์จ: 3-4 ชั่วโมง (ขึ้นอยู่กับกำลังไฟของ Adapter & สายชาร์จที่ใช้)
- น้ำหนัก 228 กรัม
- ขนาด: 141.5 (ยาว) x 68 (กว้าง) x 15.5 (หนา) mm
- สี เทา

คุณลักษณะพิเศษ:
- วิธีการตรวจสอบปริมาณคงเหลือของแบตเตอรี กดปุ่มด้านข้างเพื่อตรวจสอบปริมาณไฟคงเหลือ ไฟ LED จะมี 4 ดวง แสดงสถานะคงเหลือของปริมาณแบตเตอรี่ ดวงที่  1 (0-25%) ดวงที่ 2 (25-50%) ดวงที่ 3 (50-75%) ดวงที่ 4 (75-100%) และถ้าไฟ LED Fast ติดแสดงสถานะการชาร์จเร็วหรือ Fast Charging
- ไฟ LED 100 ติด - แบตเตอรี่อยู่ในระดับ 75% - 100%
 - ไฟ LED 75 ติด - แบตเตอรี่อยู่ในระดับ 50% - 75%
 - ไฟ LED 50 ติด - แบตเตอรี่อยู่ในระดับ 25% - 50%
 - ไฟ LED 25 ติด - แบตเตอรี่อยู่ในระดับ 0% - 25%
- ดีไซด์สวยด้วยวัตถุที่แข็งแรงคงทน ทำมาจากพลาสติก PC+ABS
- รองรับกับอุปกรณ์เครื่องใช้ไฟฟ้าที่ชาร์จไฟผ่าน USB Port
- จอ LED แสดงสถานะของพลังงานที่เหลืออยู่ และสามารถดูได้ในที่มืด
- ผ่านการผลิตที่เป็นมาตรฐานสากล CE / FCC / RoHS

ในกล่องประกอบไปด้วย:
- Power bank 10000 mAh
- สายชาร์จ Type C
- ซองใส่ Power bank 
- คู่มือการใช้งาน",560,,,ฟรี ,No,no,can,no,
21,EW54,,"ข้อมูลเชิงเทคนิค:
- ความจุแบตเตอรี: 10000 mAh Li-Polymer battery
- Total Output: 20W (Max)
- Wireless Charge : 5W / 7.5W / 10W / 15W MagSafe
- Input (Type - C) current: DC 5V/2.4A; 9V/2.22A  
- Output (Type - C) current: DC 5V/3A; 9V/2.22A; 12V/1.67A  
- ระยะเวลาในการชาร์จ: 3-4 ชั่วโมง (ขึ้นอยู่กับกำลังไฟของ Adapter & สายชาร์จที่ใช้)
- น้ำหนักผลิตภัณฑ์ 189 กรัม
- น้ำหนักผลิตภัณฑ์ & แพ็คเกจ 273 กรัม
- ขนาดผลิตภัณฑ์: 105 (ยาว) x 69 (กว้าง) x 16 (หนา) mm
- ขนาดผลิตภัณฑ์ & แพ็คเกจ: 113 (ยาว) x 82 (กว้าง) x 33 (หนา) mm
- สี เทา

คุณลักษณะพิเศษ:
- สินค้าเป็นสีเทาเข้ม ทำมาจากพลาสติก PC+ABS ผิวด้านเรียบ 
- แบตเตอรี่สำรอง MagSafe ความจุ 10000 mAh ซึ่งมากกว่า MagSafe Battery Pack ทั่วไป ในขนาดที่ใกล้เคียงกัน
- สำหรับ iPhone รุ่น12 & 13 ขึ้นไป สามารถใช้ MagSafe โดยไม่ต้องใส่เคสมือถือ
- มีเทคโนโลยี QI Wireless Charge รองรับชาร์จไร้สายสูงสุด15W 
- ให้กำลังไฟสูงสุด 7.5W สำหรับ iPhone / 15W สำหรับสมาร์ทโฟน (Android) รุ่นอื่นๆที่รองรับ
- สามารถจ่ายไฟให้แบตเตอรีสำรอง และชาร์จมือถือในขณะเดียวกันได้
- Output & Input เป็น Type C 20W (Max) เพิ่มความรวดเร็วในการชาร์จไฟเข้าโทรศัพท์มือถือได้มากขึ้น และชาร์จตัวแบตสำรองได้รวดเร็วขึ้น 2 เท่า
- รองรับชาร์จเร็ว PD 20W สำหรับไอโฟน 12 / 13 ขึ้นไป (ในกรณีใช้สายชาร์จ)
- มีขาตั้งออกแบบเป็นฐานสำหรับวางมือถือในตัว เพิ่มความสะดวกสบายในการชาร์จไปด้วย และใช้โทรศัพท์มือถือไปด้วยในเวลาเดียวกัน
- ดีไซด์สวยด้วยวัตถุที่แข็งแรงคงทน ทำมาจากพลาสติก PC+ABS
- รองรับกับอุปกรณ์เครื่องใช้ไฟฟ้าที่ชาร์จไฟผ่าน USB Port
- จอ LED แสดงสถานะของพลังงานที่เหลืออยู่ และสามารถดูได้ในที่มืด
- ผ่านการผลิตที่เป็นมาตรฐานสากล CE / FCC / RoHS และ มอก. ของประเทศไทย

ในกล่องประกอบไปด้วย:
- Power bank EW54 10000 mAh
- สายชาร์จ Type C to Type C
- ซองใส่ Power bank 
- คู่มือการใช้งาน",760,,,ฟรี ,No,no,can,no,
