"ตารางราคาปลั๊กไฟ
อัทเดท 23/5/2024
,,,,,,,,,,,,
9,UNP-09,,"ขั้นต่ำ 300 ชิ้น (Logoสกรีน) / ขั้นต่ำ 500 ชิ้น (UV Print) 
รายละเอียดสินค้า
สีมาตรฐาน : ตามแบบ
รองรับ: US.EU.AUS.UK
วัสดุ :ABS,Copper
ช่อง : USB 2.0
ระยะเวลาการผลิต : 15 – 20 วัน
รับประกัน 1 ปี",195,190,185,"ไม่สกรีน
โลโก้","ไม่สกรีน
โลโก้","สูงไม่เกิน 36  mm.
กว้างไม่เกิน 34 mm. ",NO,NO,
,,,,,,,,,,,,
,,,,,,,,,,,,
11,UNP-11,,"ขั้นต่ำ 300 ชิ้น (Logoสกรีน) / ขั้นต่ำ 500 ชิ้น (UV Print) 
รายละเอียดสินค้า
สีมาตรฐาน : ตามแบบ
รองรับ: US.EU.AUS.UK
วัสดุ :ABS,Copper
ช่อง : USB 2.0
ระยะเวลาการผลิต : 15 – 20 วัน รับประกัน 1 ปี",,,,ไม่สกรีนโลโก้,ไม่สกรีนโลโก้,,NO,NO,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
12,CB-20,,"ชุดสายชาร์จอเนกประสงค์  (ทรงเหลี่ยม)
วัสดุ : ABS 
ขนาด : 6.8*7.8*1.1 cm.  น้ำหนัก : 40 g. 
สี : ดำ / ขาว 
กล่องสายข้อมูล USB-C USB C 60W
-Type-C ถึง Type-C PD65W
- Type-A ถึง Type-C
- Type-C ถึง Lightning 
- Type-A ถึง Lightning 
- Type-C ถึง Micro USB
- Type-A ถึง Micro USB
- มีแท่นวางโทรศัทพ์
- พินถอดชิม
- กระจก
- ช่องใส่การ์ดนาโนซิม
- ช่องเก็บการ์ด TF

คุณสมบัติ
- กล่องสายข้อมูล USB-C USB C 60W สายชาร์จเร็วช่องเสียบหลายช่อง
- ขั้วต่อหลายตัวที่เข้ากันได้กับอุปกรณ์ lOS / Android / TYPE-C
- พร้อมขาตั้งที่วางโทรศัพท์กะทัดรัด และพกพาได้

ขั้นต่ำในการสั่งผลิต : 100 ชิ้น 
ระยะเวลาการผลิต : 20 - 25 วัน 
บรรจุภัณฑ์ : กล่องตามโรงงาน",,,,,,,,,
,,,,,,,,,,,,
13,UNP-13,,"รหัสสินค้า：UNP-13
ขนาด ：66*53*52mm
สี ：ขาว,ดำ,ฟ้า,เขียว หรือ oem
รูปแบบปลั๊ก ：UK,US,AUS,EU International plugs
ฟังค์ชั่น ：charging,business travel,gifts
ระยะเวลาการผลิต : 15-20
ขั้นต่ำในการผลิต : ขั้นต่ำ 300 ชิ้น (Logoสกรีน) / ขั้นต่ำ 500 ชิ้น (UV Print)",,,,ไม่สกรีนโลโก้,ไม่สกรีนโลโก้,"
ด้านหน้า 
สูงไม่เกิน 11 mm.
กว้างไม่เกิน 50  mm.
ด้านขวา 
สูงไม่เกิน 18 mm.
กว้างไม่เกิน 39  mm.
ด้านบน 
สูงไม่เกิน 9 mm.
กว้างไม่เกิน 40  mm


 ",NO,"
ด้านหน้า 
สูงไม่เกิน 11 mm.
กว้างไม่เกิน 50  mm.
ด้านขวา 
สูงไม่เกิน 18 mm.
กว้างไม่เกิน 39  mm.
ด้านบน 
สูงไม่เกิน 9 mm.
กว้างไม่เกิน 40  mm


 ",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"หมายเหตุ  :
1. ราคาในตารางคือ MOQ  100 Pcs 
2.ราคาที่เสนอไปเป็นราคาสกรีน 1 สี 1 จุด หรือ เลเซอร์ 1 จุด  บนตัวสินค้า 
3. ราคาที่เสนอไปเป็นกล่องกระดาษไม่สกรีนโลโก้ 
4.ในกรณีแก้บล็อก สำหรับลูกค้า 700 บาท 
5. ในกรณีแก้บล็อก สำหรับพนักงาน 500 บาท ",,,,,,,,,,,,
"ราคาโลโก้ (กรณีมีการทำโลโก้เพิ่ม)
1.โลโก้ print :
จำนวน 20 - 99 Pcs ราคาเหมา 800 บาท ต่อ 1 บล็อก 
จำนวน 100 - 200 Pcs เพิ่ม 10 บาท/ 1 Pcs 
จำนวน 300 - 400 Pcs เพิ่ม 7 บาท / 1 Pcs 
จำนวน 500 - 1000 Pcs เพิ่ม 5 บาท / 1 Pcs
   ",,,,,,,"""ราคาโลโก้ (กรณีมีการทำโลโก้เพิ่ม)
1.โลโก้  สกรีน :
จำนวน 20 - 99 Pcs ราคาเหมา 800 บาท ต่อ 1 บล็อก 
จำนวน 100 - 200 Pcs เพิ่ม 10 บาท/ 1 Pcs 
จำนวน 300 - 400 Pcs เพิ่ม 7 บาท / 1 Pcs 
จำนวน 500 - 1000 Pcs เพิ่ม 5 บาท / 1 Pcs""		",,,"ราคาโลโก้ (กรณีมีการทำโลโก้เพิ่ม)
1.โลโก้ เลเซอร์ :
จำนวน 20 - 99 Pcs ราคาเหมา 700 บาท ต่อ 1 บล็อก 
จำนวน 100 - 200 Pcs เพิ่ม 5 บาท/ 1 Pcs 
จำนวน 300 - 400 Pcs เพิ่ม 4 บาท / 1 Pcs 
จำนวน 500 - 1000 Pcs เพิ่ม 3 บาท / 1 Pcs",,
