"ตารางราคากระบอกน้ำพลาสติก
อัพเดท 22/5/67
12,"PL-28
(24 OZ)",,"กระบอกน้ำพลาสติก PL-28 (L) (เปลี่ยนสีได้)
รหัสสินค้า : PL-28(24oz.)
ขนาด : WxH 17.7 x 10.5 cm
ปริมาณบรรจุ : 680 ML / 24 oz
น้ำหนัก : 60 กรัม
สี : ชมพู / ฟ้า / ส้ม / เหลือง /เขียว
วัสดุ : Plastic PP (Polypropylene)
ผลิตขั้นต่ำ : 100 ชิ้น
ระยะเวลาในการผลิต : 15-20 วัน
Graphic Design : บริการออกแบบฟรี
คุณสมบัติพิเศษ : เมื่อใส่น้ำเย็นลงไปจะเปลื่ยนสี",,NO,"ใบละ
65



แบบ SET
265","ใบละ
63



แบบ SET
259","ใบละ
59



แบบ SET
255",NO,NO,FREE,NO,ถามกราฟฟิก,ถามกราฟฟิก,NO,
13,"PL-06
(22 oz)",,"แก้วกาแฟพลาสติกสีพลาสเทล (ไม่เปลี่ยนสี)
รหัสสินค้า : PL-06
ขนาด :  สูงรวมฝา 18 CM ปากแก้ว 9 CM ก้นแก้ว 6 CM
ปริมาณบรรจุ : 22oz
น้ำหนัก : -
สี :   ชมพู เขียวมิ้น ใส เหลือง
วัสดุ : PP เนื้อแข็ง
ผลิตขั้นต่ำ :  100 ชิ้น
ระยะเวลาในการผลิต : 30 วัน pre order",,NO,"100 / 29.-
300 / 25.- ","500-1000 / 20.-
","1000 ขึ้นไป
18.-",NO,NO,FREE,NO,ถามกราฟฟิก,NO,NO,
14,PL-08,,"รหัสสินค้า : PL-08
ขนาด : สูง 16.2 กว้าง 6.2 CM
ปริมาณบรรจุ : 500ML
น้ำหนัก : - สี : ไข่ไก่ / ฟ้า / ชมพู / ดำ
วัสดุ : PC+Silicone
ผลิตขั้นต่ำ : 100 ต่อสี
ระยะเวลาในการผลิต : 20-25 วัน pre order
รูปแบบโลโก้ : silk screen
Graphic Design : บริการออกแบบฟรี",,NO,"100 / 58.- 
300 / 55.- ",53.-,ถามจัดซื้อ,NO,NO,FREE,NO,ถามกราฟฟิก,NO,NO,
15,PL-09,,"รหัสสินค้า : PL-09
ขนาด : สูง 20 กว้าง 7 CM
ปริมาณบรรจุ : 600ML
น้ำหนัก : - สี : ดำ / เทา / ขาว / เขียว
วัสดุ : PC
ผลิตขั้นต่ำ : 100 ต่อสี
ระยะเวลาในการผลิต : 20-25 วัน pre order
รูปแบบโลโก้ : silk screen
Graphic Design : บริการออกแบบฟรี",,78,"100 / 58.- 
300 / 55.- ",53.-,ถามจัดซื้อ,NO,NO,FREE,NO,ถามกราฟฟิก,NO,NO,CN-068
16,PL-03,,"รหัสสินค้า : PL-03
ขนาด : ก้น 5.8 สูง 16 ปาก 9.2 CM
ปริมาณบรรจุ : 500 ML
น้ำหนัก : 46 กรัม
สี : ม่วง น้ำเงิน ฟ้า ชมพู ขาว
วัสดุ : PP
ระยะเวลาในการผลิต : 30 วัน pre order
รูปแบบโลโก้ : silk screen
Graphic Design : บริการออกแบบฟรี
",,NO,"100 / 49.-
300 / 45.-","500 / 39.-
1000 / 35.-",ถามจัดซื้อ,NO,NO,FREE,,ถามกราฟฟิก,NO,NO,
17,PL-04,,"รหัสสินค้า : PL-04
ขนาด : 23.5*7.5CM
ปริมาณบรรจุ : 700ML
น้ำหนัก : 149g
สี : ชมพู เหลือง เทา เขียว
วัสดุ : PP+PC 
ผลิตขั้นต่ำ : 100 ต่อสี
ระยะเวลาในการผลิต : 30 วัน pre order
รูปแบบโลโก้ : silk screen
Graphic Design : บริการออกแบบฟรี",,NO,"100 / 79.-
300 / 77.- ",75.- ,ถามจัดซื้อ,NO,NO,FREE,NO,ถามกราฟฟิก,NO,NO,
18,PL-05,,"รหัสสินค้า : PL-05
ขนาด : 22.5*6CM
ปริมาณบรรจุ : 520ML
น้ำหนัก : 100g 
สี : ชมพูเข้ม ฟ้า ชมพูอ่อน เขียว
วัสดุ : ฝา PP กระบอก PC
ผลิตขั้นต่ำ : 100 ต่อสี
ระยะเวลาในการผลิต : 30 วัน pre order
รูปแบบโลโก้ : silk screen
Graphic Design : บริการออกแบบฟรี",,NO,57.-,55.-,ถามจัดซื้อ,NO,NO,FREE,NO,ถามกราฟฟิก,NO,NO,
19,PL-10,,"รหัสสินค้า : PL-10
ขนาด : 8.2*16.3CM
ปริมาตรบรรจุ : 420ML
น้ำหนัก : 150g
สี : แดง/เขียว/ฟ้า
วัสดุ : PP+Silicone
ผลิตขั้นต่ำ : 100 ชิ้นต่อสี
ระยะเวลาในการผลิต : 10-15 วัน
รูปแบบโลโก้ : silk screen
Graphic Design : บริการออกแบบฟรี",,NO,"100 / 67.- 
300 / 65.- ",63.- ,ถามจัดซื้อ,NO,NO,FREE,NO,ถามกราฟฟิก,NO,NO,
20,PL-26,,"
รหัสสินค้า :PL-26
ขนาด : 19.4 x 5.5 cm.
ปริมาณบรรจุ : 480 ml.
น้ำหนัก 88.5 กรัม
สี : สีขาว | สีดำ | สีเทา  | สีม่วง | สีชมพู | สีเขียว | สีฟ้า
วัสดุ : Plastic (PC)
ผลิตขั้นต่ำ :100 ชิ้น
ระยะเวลาในการผลิต : 10-15 วัน
รูปแบบโลโก้ : silk screen
Graphic Design : บริการออกแบบฟรี",,75,55,49,48,NO,NO,FREE,NO,ถามกราฟฟิก,ถามกราฟฟิก,ถามกราฟฟิก,CN-069
21,PL-27,,"รหัสสินค้า : PL-27
ขนาด : 6.8*6.2*21.6CM หลอด 26.5CM
ปริมาณบรรจุ : 16oz
น้ำหนัก : 181g
สี : ตามรูปภาพ
วัสดุ : พลาสติก AS
ผลิตขั้นต่ำ :  300 ต่อสี
ระยะเวลาในการผลิต : 30 วัน pre order
รูปแบบโลโก้ : silk screen
Graphic Design : บริการออกแบบฟรี",,109,89,85,80,NO,FREE,NO,NO,ถามกราฟฟิก,NO,NO,
