"ตารางราคาแฟลชไดร์ฟ
อัพเดท 26/9/67
,,,,64 GB.,ถามจัดซื้อ,ถามจัดซื้อ,ถามจัดซื้อ,,,,,,,,,,
,,,,,,,,,,,,,,,,,
6,US-02,,"รหัสแฟลชไดรฟ์ : US-02
จำนวนการผลิตขึ้นต่ำ: 100 ชิ้น
ฟรี : ออกแบบ
ผลิต: 2-5 วัน
รับประกันชิป : 5 ปี
วัสดุ: พลาสติก + โลหะ
ขนาด: 54 x 17 x 8.5 mm
สี : ตามแบบ
โลโก้ : Silk Screen / Printing / Laser
ความเร็ว : อ่าน 10-22MB / เขียน 3-10MB
ความจุ : 2 GB / 4 GB / 8 GB / 16 GB / 32 GB",8 GB.,100,95,ถามจัดซื้อ,FREE,18,10,NO,N/A,"H สูงไม่เกิน13 mm.
W กว้างไม่เกิน 43 mm.","H สูงไม่เกิน13 mm.
W กว้างไม่เกิน 43 mm.","H สูงไม่เกิน13 mm.
W กว้างไม่เกิน 43 mm.",NO,
,,,,16 GB .,105,100,ถามจัดซื้อ,,,,,,,,,,
,,,,32 GB.,120,115,ถามจัดซื้อ,,,,,,,,,,
,,,,64 GB.,ถามจัดซื้อ,ถามจัดซื้อ,ถามจัดซื้อ,,,,,,,,,,
,,,,,,,,,,,,,,,,,
7,UW-01,,"รหัสแฟลชไดรฟ์ : UW-01
จำนวนการผลิตขึ้นต่ำ: 1 ชิ้น Laser Logo || 20 ชิ้น Silk Screen
ฟรี : ออกแบบ
ผลิต: 2-5 วัน Laser Logo || 3-7 วัน Silk Screen
รับประกันชิป : 5 ปี
วัสดุ: ไม้
ขนาด: 60 x 19 mm.
สี : ตามแบบ
โลโก้ : Silk Screen / Printing / Laser
ความเร็ว : อ่าน 10-22MB / เขียน 3-10MB
ความจุ : 2 GB / 4 GB / 8 GB / 16 GB / 32 GB",8 GB.,119,115,ถามจัดซื้อ,FREE,18,10,NO,30,"H สูงไม่เกิน15 mm.
W กว้างไม่เกิน 37 mm.","H สูงไม่เกิน15 mm.
W กว้างไม่เกิน 30 mm.",NO,NO,"จุดที่ 2 ที่ฝา 
LOGO สกรีนที่ฝา 
H สูงไม่เกิน 15 mm. 
W กว้างไม่เกิน 13 mm."
,,,,16 GB .,125,120,ถามจัดซื้อ,,,,,,,,,,
,,,,32 GB.,135,130,ถามจัดซื้อ,,,,,,,,,,
